year,county,pct_fair_poor_health,pct_smokers,pct_obesity,food_env_index,pct_excess_drinking,pct_uninsured,prim_care_phys_rate,mental_health_prov_rate,preventable_rate,pct_children_poverty,avg_daily_pm25,pct_severe_hous_prob,severe_hous_cost_burden,pct_overcrowding,pct_freq_ment_distress,pct_freq_phys_distress,pct_diabetes,pct_food_insecure,pct_limit_access_health_food,pct_drug_overdose_mortality,median_hh_income,pct_hs_complete,pct_some_college,pct_unemployed,pct_single_parent_hous,pct_under18,pct_over65,pct_nh_black,pct_ai_an,pct_asian,pct_nh_opi,pct_hispanic,pct_nh_white,pct_female,pct_rural
2021,Del Norte,23,19,34,6.3,21,7,61,428,2997.0,26,5.8,20,17,4,16,16,17,17,14,17.0,48979,80.0,42,5.7,30,20.9,18.4,3.3,9.7,3.1,0.2,20.1,62.0,45.4,33.7
2021,El Dorado,13,13,26,8.5,24,6,79,346,3131.0,9,8.3,18,16,2,13,11,8,9,6,17.0,86202,93.0,69,3.5,17,19.8,21.9,0.9,1.3,4.8,0.2,13.2,77.2,50.1,34.7
2021,Fresno,25,16,33,7.4,19,9,67,374,3839.0,29,14.4,27,19,9,14,15,10,15,4,12.0,56926,76.0,56,7.2,28,28.2,12.6,4.6,3.0,11.1,0.3,53.8,28.6,50.1,10.8
2021,Glenn,23,17,34,7.7,20,12,14,109,5079.0,18,7.6,21,17,5,15,15,11,14,4,13.0,55682,75.0,46,6.1,23,26.6,15.8,0.8,3.2,3.1,0.2,42.5,50.5,49.1,40.9
2021,Humboldt,18,17,25,7.5,20,8,64,483,2961.0,21,6.1,24,20,4,15,15,10,14,6,28.0,51134,90.0,68,3.6,25,18.9,18.6,1.2,6.4,2.9,0.3,12.1,73.8,50.4,29.8
2021,Imperial,29,16,33,6.2,19,8,25,152,3614.0,31,12.5,26,17,11,15,16,9,19,9,17.0,48102,70.0,53,18.3,31,28.5,13.3,2.4,2.5,2.1,0.2,85.0,10.0,48.7,17.4
2021,Inyo,17,15,27,7.7,23,8,111,466,2118.0,15,6.6,18,13,2,14,13,12,11,12,31.0,59605,89.0,61,3.5,19,20.7,23.4,1.0,13.5,1.7,0.2,23.4,60.8,49.9,46.4
2021,Kern,27,17,31,7.5,19,9,49,203,4466.0,26,16.0,24,17,9,15,17,10,14,5,27.0,53245,74.0,47,7.7,25,28.8,11.2,5.2,2.6,5.4,0.3,54.6,32.8,48.8,10.2
2021,Kings,25,17,34,7.5,19,8,37,205,4114.0,22,15.6,23,16,8,15,16,13,14,5,13.0,57297,73.0,51,7.9,25,27.0,10.5,6.3,3.2,4.4,0.4,55.3,31.3,44.9,10.9
2021,Lake,21,18,22,6.9,21,9,43,367,3652.0,25,3.0,22,20,3,16,16,11,16,9,62.0,46897,86.0,53,5.0,25,21.2,23.1,1.8,4.5,1.4,0.3,22.0,68.9,50.0,33.1
2021,Lassen,21,18,33,7.7,23,5,29,304,3561.0,15,7.0,15,14,1,15,15,15,13,7,24.0,53613,83.0,36,4.6,25,17.3,15.5,8.0,4.3,1.6,0.9,19.3,64.7,37.8,70.5
2021,Los Angeles,21,13,22,8.4,18,10,73,363,4053.0,18,12.0,33,24,12,13,13,9,11,2,10.0,72721,79.0,64,4.4,25,21.4,14.1,8.0,1.4,15.4,0.4,48.6,26.1,50.7,0.6
2021,Madera,26,17,37,7.4,19,11,45,163,3386.0,26,12.1,25,16,10,15,16,12,13,9,13.0,61105,72.0,46,6.9,21,27.4,14.3,3.2,4.4,2.6,0.3,58.8,33.2,51.8,32.9
2021,Marin,12,10,18,9.2,23,5,145,782,2101.0,7,6.4,22,19,4,11,10,8,7,2,14.0,112069,93.0,77,2.3,18,19.8,23.0,2.6,1.0,6.6,0.3,16.3,71.1,51.1,6.5
2021,Mariposa,17,16,16,7.6,22,8,29,291,2908.0,22,9.1,19,17,1,15,13,8,13,6,0.0,52760,91.0,64,4.6,32,16.1,28.9,1.2,3.5,1.6,0.2,12.1,79.3,49.1,100.0
2021,Mendocino,20,17,30,7.6,22,10,88,671,2805.0,20,6.4,27,22,5,15,15,11,14,7,38.0,52309,87.0,58,4.0,28,21.1,23.1,0.8,6.3,2.3,0.3,25.8,64.3,50.4,45.2
